iteration,instanceLimit,spaceSize,elitismRatio,mutationRate,selectionMethod,crossoverMethod,mutationMethod,elitismMethod,highestFitness,lowestFitness,averageFitness
0,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,197191,196275,197145
0,20,10,0,0.01,ROULETTE,HALVED,SWAP,RANKED,197191,197191,197191
1,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,197191,188781,196770
1,20,10,0,0.01,ROULETTE,HALVED,SWAP,RANKED,199413,196178,197251
2,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,196178,197796
2,20,10,0,0.01,ROULETTE,HALVED,SWAP,RANKED,199413,196178,197957
3,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,196178,197957
3,20,10,0,0.01,ROULETTE,HALVED,SWAP,RANKED,199413,196178,197957
4,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,196273,199256
4,20,10,0,0.01,ROULETTE,HALVED,SWAP,RANKED,199413,198878,199386
5,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,199413,199413
5,20,10,0,0.01,ROULETTE,HALVED,SWAP,RANKED,199413,199367,199411
6,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,199413,199413
6,20,10,0,0.01,ROULETTE,HALVED,SWAP,RANKED,199413,197672,199280
7,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,197983,199289
7,20,10,0,0.01,ROULETTE,HALVED,SWAP,RANKED,199413,199413,199413
8,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,196131,199249
8,20,10,0,0.01,ROULETTE,HALVED,SWAP,RANKED,199413,194480,199166
9,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,195751,199230
9,20,10,0,0.01,ROULETTE,HALVED,SWAP,RANKED,195623,195623,195623
10,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,195623,195623,195623
10,20,10,0,0.01,ROULETTE,HALVED,SWAP,RANKED,195623,193892,195536
11,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,199413,199413
11,20,10,0,0.01,ROULETTE,HALVED,SWAP,RANKED,199413,197457,199297
12,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,192269,199056
12,20,10,0,0.01,ROULETTE,HALVED,SWAP,RANKED,199413,199413,199413
13,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,199413,199413
13,20,10,0,0.01,ROULETTE,HALVED,SWAP,RANKED,199413,199413,199413
14,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,190849,198128
14,20,10,0,0.01,ROULETTE,HALVED,SWAP,RANKED,199413,190849,195847
15,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,190849,195987
15,20,10,0,0.01,ROULETTE,HALVED,SWAP,RANKED,199413,190849,198557
16,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,199413,199413
16,20,10,0,0.01,ROULETTE,HALVED,SWAP,RANKED,199413,199287,199407
17,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,197320,199308
17,20,10,0,0.01,ROULETTE,HALVED,SWAP,RANKED,199413,199413,199413
18,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,194775,198830
18,20,10,0,0.01,ROULETTE,HALVED,SWAP,RANKED,204586,197915,204244
19,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199111,198437,199077
19,20,10,0,0.01,ROULETTE,HALVED,SWAP,RANKED,199111,199111,199111
