spaceSize,alg1,alg2,alg3,alg4
10,0,0,0,0
110,1,1,1,1
210,2,3,2,4
310,5,3,5,4
410,8,6,8,4
510,12,12,10,10
610,11,13,16,14
710,14,20,17,15
810,16,20,23,17
910,22,20,20,27
1010,22,25,34,26
1110,33,33,49,45
1210,38,49,58,54
1310,38,39,53,42
1410,48,63,56,67
1510,50,68,61,76
1610,68,80,69,64
1710,79,78,69,86
1810,72,75,88,97
1910,71,98,106,98
2010,77,104,102,117
2110,98,103,146,119
2210,105,132,116,157
2310,149,141,145,138
2410,151,164,146,143
2510,148,151,149,157
2610,157,173,156,179
2710,186,199,205,171
2810,251,228,242,236
2910,216,218,220,203
3010,201,230,248,251
3110,390,245,233,203
3210,272,247,243,193
3310,267,237,235,255
3410,259,229,243,245
3510,395,318,347,322
3610,308,292,285,288
3710,309,297,329,281
3810,464,347,372,346
3910,401,355,383,361
4010,407,318,378,317
4110,419,405,482,421
4210,611,561,525,634
4310,691,629,652,755
4410,567,557,644,612
4510,654,687,596,571
4610,661,765,697,677
4710,677,691,642,734
4810,742,807,855,842
4910,680,686,674,805
5010,681,870,800,798
5110,726,793,732,833
5210,731,794,794,786
5310,748,870,840,755
5410,791,737,852,798
5510,849,916,819,1011
